,Response ID,紑,沑,飵,氿,阤,伃,秔,恔,汵,軵,軨,艅,翫,姺,侊,汭,溓,鉋,煔,觤,訽,抲,咍,觡,佮,蛣,梠,硞,鎕,飪,煥,羜,拕,愃,粔,皯,靉,猵,諟,咮,毈,鋂,紬,膰,憕,袙,柀,搤,謓,啌,穋,誚,慔,饛,黵,綌,嗹,琲,禡,螝,correct,correct_rate,overlap,overlap std,overlap min,overlap max
0,R_12Ebaa2F23xlCei,pou,niu,zuo,gou,ta,yu,hang,jiao,cen,fu,ling,yu,ruan,di,guang,ne,lian,pao,nian,wei,ju,peng,yi,luo,qia,jie,lv,gao,tang,ren,huan,ling,tuo,xuan,ju,cun,nuan,pian,jie,zhu,duan,hui,you,pan,deng,bai,pi,yi,zhen,qiang,miu,qiao,mo,meng,chan,yu,lian,fei,chi,ai,27,0.4666666666666667,0.4679012345679013,0.06384367798437737,0.2833333333333333,0.6
1,R_2rAb3GgmV3vrGnK,bu,nou,zha,jiu,ta,yu,kang,jiao,yin,fu,ling,yu,yuan,xian,huang,na,qian,pao,zhan,cui,gou,ke,tai,ge,qia,ji,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,jian,ai,pian,ti,zhu,luan,hui,dian,fan,deng,bo,pi,ai,dian,kong,mu,shao,mo,meng,dan,yu,da,fei,ma,kui,25,0.4333333333333333,0.520679012345679,0.06602959640586832,0.3333333333333333,0.7
2,R_1FmJmlCuWPm491y,huai,chou,zha,qiu,chi,yu,kang,jiao,cen,che,ling,yu,ruan,xian,guang,na,lian,bao,zhan,wei,ju,ke,yi,luo,qia,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,xuan,ai,bian,ti,shu,duan,hui,xiu,fan,cheng,bo,pi,yi,shen,kong,liao,shao,mo,meng,dan,yu,lian,fei,ma,huai,26,0.45,0.5478395061728395,0.07026800270652135,0.38333333333333336,0.7
3,R_2zHmHSpU321A4Ov,pi,chou,zuo,qiu,ye,shu,kang,jiao,cen,fu,ling,yu,ruan,xian,guang,ne,qian,pao,zhan,wei,ju,ke,yi,ge,qia,jie,lv,gao,tang,ren,huan,ning,ta,xuan,ju,po,ai,bian,di,zhu,luan,hui,you,pan,deng,po,pi,yi,zhen,kong,miu,qiao,mo,meng,zhan,yu,ti,fei,feng,gui,25,0.4333333333333333,0.5114197530864197,0.07231019208371091,0.31666666666666665,0.6833333333333333
4,R_1QydggKBW1It3va,huai,chou,za,qiu,ta,yu,kang,jiao,jin,fu,ling,yu,yuan,xi,guang,ne,qian,pao,nian,cui,ju,ge,tai,hu,qia,jie,lv,gu,tang,ren,huan,ning,ta,xuan,ju,jian,ai,pian,ti,wei,qin,mei,you,fan,deng,bo,bai,ai,chen,kong,miu,xiao,mo,meng,zhan,yu,lian,fei,ma,chou,23,0.4,0.4975308641975309,0.06188914545399084,0.36666666666666664,0.6166666666666667
5,R_12niVo9Oj4kO3lB,huai,chou,zha,jiu,chi,yu,kang,jiao,chen,fu,ling,zhou,yuan,huan,guang,na,xian,pao,yan,wei,ju,ke,yi,jiao,he,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,gan,yun,pian,ti,zhu,qing,hui,you,fan,cheng,po,bo,yi,chen,kong,miu,xiao,mo,meng,dian,yu,da,fei,ma,wei,23,0.4,0.49351851851851863,0.06871207104430606,0.38333333333333336,0.6333333333333333
6,R_1HbmXB994bnXu8f,bu,chou,zuo,jiu,chi,yu,hui,jiao,jin,fu,ling,chuan,ruan,xian,hu,nei,jian,pao,yan,gui,gou,ke,tai,ge,he,ha,lv,hai,tang,ren,huan,ning,tuo,xuan,gui,xuan,ai,pian,ti,zhu,fu,mei,you,fan,cheng,bai,pi,shi,chen,kong,miao,xiao,mo,meng,zhan,gu,lian,fei,ma,gui,27,0.4666666666666667,0.487037037037037,0.059228678342716855,0.36666666666666664,0.6666666666666666
7,R_UtIh3IOvPchGdIl,huai,you,zha,chou,ta,yu,hang,jiao,jin,fu,ling,shu,wan,wan,guang,na,lian,pao,yan,cui,ju,ke,yi,luo,qia,jie,lv,gao,tang,shi,huan,ning,tuo,xuan,ju,xuan,ai,pian,ti,zhu,duan,hai,you,fan,deng,pa,bai,yi,shen,qiang,mie,xiao,mo,meng,chu,yu,lian,fei,ma,gui,27,0.4666666666666667,0.5089506172839506,0.05984895058732629,0.38333333333333336,0.6666666666666666
8,R_3RmGzxCdtGsLngy,huan,chou,za,jiu,chi,yu,keng,jiao,yin,fu,ling,yu,yuan,xi,guang,na,jian,bao,nian,gui,ju,gou,ha,luo,ga,ga,lv,hao,tang,ren,huan,ning,tuo,xuan,qu,gan,ai,bian,ti,zhu,luan,mei,you,pan,cheng,bo,po,yi,shen,qiang,miu,qiao,mo,meng,chan,yu,lian,fei,ma,kui,26,0.45,0.4827160493827161,0.05309725294261485,0.38333333333333336,0.6166666666666667
9,R_u7CxLfLslCWAj8R,huai,chou,yi,jiu,chi,ya,hang,jiao,jin,fu,lin,yu,kou,jin,bang,na,qiao,bai,pou,tu,hun,gou,tai,cou,qiao,er,lv,hao,tang,wang,du,ning,tuo,xuan,ju,cai,ai,tu,ti,ti,luan,hai,zhou,pan,cheng,bai,bei,yi,tian,kong,miu,xiao,mo,meng,yu,yu,yi,fei,ma,gui,16,0.2666666666666666,0.3598765432098766,0.04872789705012795,0.25,0.4666666666666667
10,R_6X4gswb9MX7v5rX,bu,chou,shi,jiu,ye,yu,hang,jiao,jin,fu,chui,yu,yu,xian,huang,nei,qian,bao,yan,chu,ju,ke,tai,ge,he,ji,lv,gao,tang,shi,huan,qiang,ta,xuan,ju,pi,ai,bian,shi,zhu,luan,mei,xiu,fan,deng,bai,pi,yi,shen,kong,miu,xiao,mo,meng,zhan,gu,lian,fei,ma,gui,23,0.4,0.4975308641975309,0.07155120195444563,0.36666666666666664,0.6333333333333333
11,R_XNYzQ5QGKOakX5f,huai,chou,zha,chou,ta,yu,keng,jiao,jin,fu,ling,yu,wan,xian,guang,na,qian,bao,dan,gu,ju,ke,tai,ge,qia,jie,lu,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,pian,ti,wei,duan,hui,you,fan,deng,bai,pi,yi,shen,qiang,miu,qiao,mo,meng,dan,yu,lian,fei,ma,gui,31,0.5333333333333333,0.5586419753086419,0.072013621232269,0.4,0.7166666666666667
12,R_vc1NlMzPrBUWw6J,huai,cou,za,jiu,yi,shu,kang,xiao,cen,fu,ling,yu,yuan,xi,huang,na,qian,bao,zhan,wei,ju,he,tai,he,he,ju,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,han,yun,pian,ti,zhu,luan,hui,you,fan,cheng,bai,pi,yi,zhen,kong,niu,xiao,mo,meng,yan,yu,lian,fei,ma,kui,21,0.3666666666666666,0.47901234567901235,0.05370792050723602,0.36666666666666664,0.6
13,R_5dyD3Sds7qCq01z,bei,niu,zuo,jiu,ye,shu,hang,jiao,jin,fu,ling,she,yuan,xian,guang,na,qian,pao,nian,wei,ju,ke,tai,luo,he,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,xuan,ai,pian,shi,zhu,duan,mei,you,fan,cheng,bai,bei,yi,zen,kong,cui,xiao,mo,meng,zhan,yu,lian,fei,ma,gui,27,0.4666666666666667,0.529320987654321,0.06450384621048064,0.38333333333333336,0.6833333333333333
14,R_3Dw0pHi8Ejkhq8A,huai,chou,zha,jiu,ye,yu,kang,jiao,jiao,fu,ling,yu,wan,xi,guang,nei,jian,qian,nian,wei,ju,ke,ha,hu,qia,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,pi,ai,pian,di,wei,duan,me,you,fan,cheng,bo,po,yi,shen,kong,nui,xiao,mo,meng,qian,shu,lian,fei,ma,gui,27,0.45,0.5043209876543211,0.06387103630496929,0.38333333333333336,0.6333333333333333
15,R_1r1hDRIUi17pbEO,huai,chou,shi,gan,ye,yu,kang,jiao,qing,fu,jin,hang,wan,xian,guang,na,lian,bao,zhan,wei,xun,ke,yi,luo,he,ji,lv,gao,tang,ren,huan,nin,tuo,xuan,ju,pi,ai,bian,shi,zhu,duan,mei,xiu,pan,deng,bai,pi,yi,shen,kong,liao,qiao,mo,meng,dan,gu,lian,fei,ma,gui,28,0.4833333333333333,0.509567901234568,0.06694923229541946,0.3333333333333333,0.6833333333333333
16,R_e5oAAHWWrHrhXsR,huan,chou,zuo,qiu,chi,yu,hang,jiao,ling,fu,ling,tu,wan,xi,gong,nei,qian,bao,zhan,gui,ju,ke,ye,luo,he,jie,lv,gao,tang,si,huan,ning,ta,xuan,ju,jian,ai,pian,ti,zhu,duan,hui,zhou,pan,deng,bai,pi,yi,chen,kong,shen,xiao,mo,meng,zhan,yu,lian,fei,zhe,gui,23,0.4,0.49969135802469133,0.05422319167203369,0.38333333333333336,0.65
17,R_1P8opoLApbzZIOh,huai,chou,zha,jiu,ye,yu,keng,jiao,ling,fu,zhuan,zhou,ruan,ta,huang,nei,jian,bao,yan,cui,ju,ke,yi,ge,qia,jie,lv,gao,tang,shi,huan,ning,ta,xuan,gui,pi,ai,pian,ti,wei,luan,hui,xiu,fan,cheng,pa,bi,yi,zhen,kong,liao,xiao,mo,mo,dan,gu,lian,fei,ma,gui,22,0.3833333333333333,0.4444444444444444,0.062444944304422205,0.3333333333333333,0.5666666666666667
18,R_2WVAkVz8b1FPoal,pi,chou,zha,qiu,chi,yu,hang,jiao,leng,fu,ling,she,yuan,xi,huang,na,jian,bao,zhan,wei,ju,ke,yi,luo,he,ji,lv,gao,tang,ren,huan,ning,ta,xuan,ju,jian,ai,pian,shi,shu,duan,hui,xiu,pan,deng,bo,pi,ai,zhen,kong,liao,xiao,mo,meng,dian,su,lian,fei,ma,gui,22,0.3833333333333333,0.5117283950617284,0.05824383337398687,0.3333333333333333,0.6333333333333333
19,R_24qKXsEEtBSxAZz,bu,niu,zuo,jiu,ye,yu,hang,jiao,chen,fu,ling,yu,yuan,xian,guang,ne,jian,bao,zhan,wei,ju,ke,tai,luo,he,ji,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,bian,shi,zhu,duan,mei,you,fan,deng,bo,pi,yi,zhen,kong,liao,qiao,mo,meng,dan,gu,lian,fei,ma,gui,32,0.55,0.5675925925925925,0.07169822814364248,0.3333333333333333,0.7166666666666667
20,R_cO8ZQejM4focjAJ,bu,chou,za,jiu,ta,yu,kang,jiao,jin,fu,ling,yu,yuan,xian,guang,nei,xuan,bao,nian,gui,ju,ke,tai,ge,he,ji,lv,gao,gang,ren,huan,ning,tuo,xuan,ju,gan,ai,pian,ti,zhu,duan,mei,you,fan,deng,pa,pu,yi,zhen,kong,miu,xiao,mo,meng,yan,gu,lian,fei,ma,gui,29,0.5,0.5484567901234567,0.06892925599830038,0.38333333333333336,0.7333333333333333
21,R_1gpu7YhX6oRUXad,huai,chou,zha,jiu,ta,yu,kang,jiao,jin,fu,ling,yu,wan,xian,giang,na,jian,bao,nian,wei,ju,ke,tai,ge,he,zhe,lv,gao,tang,ren,huan,ning,tuo,xuan,gui,gan,ai,pian,ti,zhu,duan,huo,you,fan,cheng,bai,pi,yi,du,kong,miu,xiao,mo,meng,zhan,gu,lian,fei,ma,gui,27,0.4666666666666667,0.5608024691358025,0.06967710849852311,0.43333333333333335,0.7333333333333333
22,R_OKa6UnIHgS9L1PX,huai,chou,zha,chou,ye,yu,hang,jiao,yin,fu,ling,she,wan,xuan,guang,nei,qian,bao,zhan,gui,ju,ke,tai,ge,he,jie,lv,gao,tang,yin,huan,ning,tuo,xuan,ju,xuan,ai,biao,ti,zhu,duan,hui,xi,fan,deng,bai,po,yi,zhen,kong,zhen,xiao,mo,meng,zan,yu,lian,fei,ma,gui,25,0.4333333333333333,0.5305555555555557,0.056704574815718764,0.4,0.65
23,R_12s3ZMWmLFlmhcu,huai,qiu,zha,jiu,tuo,yu,heng,jiao,leng,fu,leng,heng,yuan,jin,guang,nei,jian,bao,jian,hui,jian,kang,ye,luo,he,jie,lv,gao,tang,ren,huan,ning,tuo,yu,ju,cun,yuan,bian,ti,zhuo,duan,ming,you,pen,teng,bai,pi,ye,zhen,kong,miu,xiao,mu,meng,qian,gu,lian,fei,ma,kuai,20,0.35,0.38765432098765434,0.04236028770779864,0.3,0.48333333333333334
24,R_0JPRO4ULB2TAsBX,huai,chou,zha,jiu,ta,yu,kang,jiao,chen,fu,ling,yu,ruan,xian,guang,ne,lian,bao,nian,gui,ju,ke,yi,luo,qia,zhe,lv,gao,tang,ren,huan,ning,tuo,xuan,gui,pi,ai,bian,ti,zhu,duan,hui,zhou,fan,deng,bai,pi,yi,chen,kong,liao,xiao,mo,meng,zhan,yu,lian,fei,ma,gui,28,0.4833333333333333,0.5706790123456792,0.05512851244628975,0.4,0.7166666666666667
25,R_2wTw7wveBBjfk9D,fu,niu,zuo,qiu,yi,yu,kang,jiao,jin,fu,ling,yu,yuan,xian,gong,rui,qian,bao,nian,wei,ju,he,yi,he,he,jie,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,xuan,ai,bian,ti,zhu,duan,mei,xiu,fan,deng,bo,pi,yi,shen,kong,mu,qiao,mo,meng,dan,xi,lian,fei,feng,huai,30,0.5166666666666667,0.5129629629629631,0.06911136052588349,0.2833333333333333,0.6666666666666666
26,R_31XeABB65sxTS5h,huai,xiu,zha,jiu,chi,yu,hang,xiao,lin,fu,ling,yu,xuan,xian,guang,na,lian,bao,nian,wei,ju,ke,tai,luo,shi,zhe,lv,gao,tang,ren,wan,yang,tuo,xuan,ju,xuan,ai,bian,ti,zu,luan,hei,zhou,pang,deng,po,pi,ye,zhen,kuang,liao,shao,mo,mo,zhan,gu,lian,fei,ma,kui,22,0.3833333333333333,0.42530864197530865,0.05366453184752918,0.3,0.5666666666666667
27,R_3Nw84uuRAI91mgA,huai,dan,zha,kai,ta,yu,kang,jiao,qin,fu,ling,yu,yuan,xian,guang,nei,jian,bao,yan,gong,xun,ke,yi,luo,he,xia,lv,ku,dang,ren,huan,ling,tuo,xuan,ju,xuan,ai,pian,ti,zhu,qin,hui,xiu,fan,deng,bo,pi,ai,chen,kong,liao,qiao,mo,meng,chan,yu,lian,fei,si,chong,24,0.4166666666666667,0.4762345679012346,0.05566463784310375,0.25,0.5833333333333334
28,R_1Lb6hMkAjDiFkMY,huai,chou,zha,chou,ta,yu,kang,jiao,cen,fu,ling,she,ruan,xian,pang,na,qian,bao,yi,wei,ju,ke,dai,ge,qia,ju,lv,pang,tang,ren,huan,ning,duo,xuan,ju,jian,ai,bian,jie,zhu,duan,mei,xiu,pan,deng,bo,pi,xia,chen,kong,miu,xiao,ni,meng,chan,gu,lian,fei,ma,gui,25,0.4333333333333333,0.4962962962962964,0.06028119525811536,0.31666666666666665,0.6
29,R_BJHizthT62IKVLr,huai,niu,zha,hang,ta,yu,kang,jiao,cen,fu,ling,yu,ruan,xian,guang,na,qian,bao,zhan,wei,gou,ke,tai,he,qia,zhe,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,pian,ti,wei,duan,hui,you,pan,deng,bo,po,shi,chen,qiang,miu,shao,mo,meng,dan,yu,da,fei,ma,huai,30,0.5166666666666667,0.5182098765432099,0.06854802280891642,0.35,0.6833333333333333
30,R_33xqdzQtTrSpdgD,pi,qiu,zha,chou,chi,yu,hang,jiao,yin,fu,ling,yu,ruan,xian,guang,na,qian,pao,zhan,wei,ju,ke,yi,luo,qia,ju,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,bian,ti,zhu,duan,mei,you,pan,cheng,bo,pi,yi,chen,qiang,liao,shao,mo,meng,zhan,yu,lian,fei,ma,qu,28,0.4833333333333333,0.5385802469135803,0.0684374934076425,0.38333333333333336,0.7
31,R_3BMXE9oEE3dQR3j,huai,chou,zuo,jiu,ta,zai,hang,jiao,ling,fu,zhi,xu,yuan,xian,guang,nei,han,bao,zhan,cui,xun,ke,yi,ge,yi,zhe,lv,hao,tang,ren,huan,ting,tuo,xuan,ju,jian,ai,pian,ti,wei,fu,hui,you,pan,deng,bo,pi,yi,shen,qiang,mu,xiao,mo,meng,dan,yu,lian,fei,feng,gui,24,0.4166666666666667,0.4743827160493827,0.04938966728388247,0.35,0.6166666666666667
32,R_3QMMFe8CV49aKo2,pei,chou,zha,chou,chi,zai,kang,jiao,lin,fu,lun,yu,wan,xian,huang,nei,jian,bao,zhan,chu,gou,ke,tang,ge,qia,ji,lv,hao,tang,peng,huan,lin,tuo,xuan,ju,pi,ai,bian,ti,zhu,duan,mei,xiu,pan,deng,bo,pi,yi,zhen,qiang,mian,xiao,mo,meng,zhan,su,lian,fei,ma,gui,26,0.45,0.47469135802469137,0.05661121414978667,0.35,0.5833333333333334
33,R_2zNfJousinJUPPe,huan,chou,zuo,qiu,chi,yu,kang,jiao,jin,fu,ling,yu,yuan,xian,guang,ne,qian,pao,zhan,wei,ju,ke,tai,luo,qia,ji,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,yun,bian,ti,zhu,duan,hui,you,fan,cheng,bo,po,yi,zhen,kong,miu,qiao,mo,meng,zhan,yu,lian,fei,ma,gui,26,0.45,0.5706790123456792,0.07195496969921492,0.4,0.7333333333333333
34,R_25tqj3CSc00pVmG,huai,chou,zha,jiu,chi,yu,hang,xiao,ling,fu,ling,yu,yuan,xing,guang,nei,qian,bao,yan,cui,ju,ke,ha,luo,he,ji,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,pian,ti,wei,duan,hai,you,pan,deng,pai,pi,yi,ji,kong,miu,xiao,mo,meng,dan,yu,lian,fei,ma,gui,27,0.4666666666666667,0.5385802469135803,0.05661892865939327,0.4,0.65
35,R_3RpYu6ArKLa6CCS,bu,chou,zha,jiu,ta,yu,hang,jiao,jin,fu,ling,zhou,wan,xian,guang,na,qian,pao,dian,wei,gou,ke,tai,ge,he,ji,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,bian,ti,zhu,duan,hui,you,fan,cheng,bai,po,yi,shen,kong,miu,qiao,mo,meng,chan,yu,lian,fei,ma,gui,30,0.5166666666666667,0.5669753086419752,0.0725032162042887,0.43333333333333335,0.7333333333333333
36,R_RCX3Qxt2LQOI1e9,huai,chou,zha,jiu,ye,yu,kang,jiao,ling,fu,ling,she,ruan,shu,guang,na,jian,pao,zhan,wei,xun,ke,yu,luo,qia,jie,si,zhi,tang,ren,huan,ning,tuo,xuan,ju,xuan,ai,bian,ti,shu,fei,mei,xiu,fan,deng,bo,pi,xie,zhen,kongq,miu,xiao,mo,meng,zhan,yu,lian,fei,ma,gui,24,0.4166666666666667,0.5015432098765432,0.053127404966505164,0.35,0.6166666666666667
37,R_AA903cS5ERC8tcl,bu,chou,zuo,jiu,tuo,yu,hang,jiao,cen,fu,ling,yu,yuan,xian,kuang,rui,lian,bao,zhan,gui,gou,ke,tai,ge,he,jie,lv,que,tang,ren,huan,ning,tuo,xuan,ju,po,ai,bian,di,zhu,duan,mei,xiu,pan,deng,bo,pi,e,chen,qiang,miu,qiao,mo,meng,zhan,yu,lian,fei,ma,gui,40,0.6833333333333333,0.5256172839506172,0.06842898375119884,0.35,0.7
38,R_27y8OgABt9MxtGV,huai,chou,zuo,jiu,ta,yu,hang,jiao,ling,fu,ling,yu,yuan,xian,huang,ne,jian,bao,tie,e,ju,ke,tai,ge,qia,ji,lv,gao,tang,yin,huan,ning,tuo,xuan,ju,gan,ai,bian,ti,wei,luan,hui,you,fan,deng,bai,po,ai,dian,kong,mu,xiao,mo,meng,zhan,yu,lian,fei,ma,yu,24,0.4166666666666667,0.526851851851852,0.05947152540529076,0.4,0.6333333333333333
39,R_tYx6HYcyTRXKSpH,huan,niu,zuo,qiu,ta,yu,hang,jiao,jin,fu,ling,yu,yuan,xi,guang,nei,lian,bao,yan,hu,ju ,ke,tai,hu,qia,jie,lv,hao,tang,ren,huan,jing,tuo,xuan,ju,pian,yuan,bian,shi,zhu,luan,mei,you,fan,zheng,bo,po,yi,chen,kong,mou,xiao,mo,meng,zhan,yu,lian,fei,yi,kui,26,0.45,0.45925925925925926,0.05404659324868645,0.3333333333333333,0.5833333333333334
40,R_1OBx0SrZpkM6jMi,bei,chou,zuo,chou,yi,shu,hang,jiao,cen,fu,ling,yu,ruan,xian,gong,na,qian,bao,nian,wei,ju,ke,dai,ge,dai,jie,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,bian,di,zhu,duan,wu,xiu,pan,deng,bai,pi,yi,shen,kong,miu,qiao,mo,meng,dan,yu,lian,fei,feng,kui,28,0.4833333333333333,0.5160493827160495,0.0715186392091513,0.35,0.6666666666666666
41,R_1H6MQZktUg2ofq9,huan,qiu,zha,jiu,ye,yu,kang,jiao,qin,fu,lian,she,ruan,xian,gong,ne,lian,pao,zhan,cui,gou,he,ye,ge,qia,jie,lv,gao,tang,ren,huan,ning,tuo,xuan,gou,xuan,fu,bian,ti,zhu,duan,hui,chou,pan,deng,bo,bei,yi,chen,qiang,miu,shao,mo,meng,chan,yu,lian,fei,feng,gui,28,0.4833333333333333,0.4472222222222222,0.06037531115501592,0.3,0.55
42,R_3h6z6pLeVq3zPLa,bu,chou,cu,chou,ye,yu,kang,jiao,ling,fu,ling,yu,ruan,xian,guang,na,lian,pao,nian,妙脆角,ju,ke,ke,ge,qia,ji,lu,hao,tang,ren,huan,ning,tuo,xuan,ju,jian,ai,pian,ti,zhu,duan,hui,you,fan,zheng,bai,pi,ai,shen,qiang,miu,shao,mu,meng,zhan,yu,lian,fei,ma,gui,26,0.45,0.5083333333333334,0.06758409622753775,0.3333333333333333,0.6666666666666666
43,R_VL8lp4NaVavSpAl,huai,you,cha,you,tuo,yu,kang,yao,qin,fu,ling,she,yuan,xian,guang,na,jian,bao,yan,gui,ye,ke,yi,luo,qia,ji,lv,gao,tang,shi,huan,ning,tuo,xuan,gui,pi,ai,pian,ye,die,duan,mei,xiu,fan,deng,bai,pi,yi,shen,kong,he,xiao,mo,meng,dan,yu,lian,fei,ma,gui,24,0.4166666666666667,0.48518518518518533,0.062080176287689075,0.31666666666666665,0.6333333333333333
44,R_3EWrlxYsi7KMnOX,bu,chou,zuo,jiu,chi,shu,kang,jiao,ceng,fu,ling,chu,yuan,xian,kuang,ne,qian,pao,zhan,gui,gou,ke,yu,ge,qia,jie,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,qian,ai,pian,di,zhu,duan,mei,xiu,pan,zheng,bai,bo,yi,dian,kong,mu,qiao,mo,meng,shan,yu,lian,pai,ma,kui,29,0.5,0.4688271604938272,0.06418708703057502,0.3,0.6166666666666667
45,R_33f2b6J1yIFSVAq,pou,niu,zuo,qiu,ye,yu,hang,yao,jin,fu,ling,yu,wan,xian,huang,rui,jian,bao,zhen,wei,gou,ge,yi,ge,he,jie,lv,hao,tang,ren,huan,ning,tuo,xuan,gui,qian,ai,pian,ti,zhu,duan,mei,xiu,pan,cheng,bo,pi,ai,zhen,kong,liao,qiao,mo,meng,dan,yu,lian,fei,ma,kui,30,0.5166666666666667,0.48364197530864206,0.05956610590029505,0.3333333333333333,0.6166666666666667
46,R_tYDqkT14OtFH6SJ,jue,chou,zha,qiu,chi,yu,keng,xiao,jin,fu,ling,yu,xi,xian,guang,nei,qian,pao,yan,wei,xun,ke,yi,luo,ha,ji,luo,hao,tang,ren,huan,xiang,tuo,xuan,ju,xian,ai,pian,ti,zhu,duan,zhu,you,pan,deng,bo,pi,ai,shen,kong,liao,xiao,mo,meng,dan,yu,lian,fei,ma,huai,24,0.4166666666666667,0.4885802469135803,0.061754915104471855,0.3333333333333333,0.65
47,R_pGD9s5vSwENaKZP,bei,xiu,ze,chou,ye,yu,hang,jiao,yin,fu,ling,chu,ruan,xian,huang,ne,qian,bao,nian,wei,ju,he,dai,luo,he,xia,lv,gao,tang,ren,huan,qiang,ta,xuan,ju,pian,ai,bian,ti,zhu,duan,hui,xiu,fan,deng,po,pi,ai,chen,hong,miao,xiao,mo,meng,zhan,yu,lian,fei,ma,huai,23,0.4,0.4675925925925927,0.062395965126049474,0.25,0.5833333333333334
48,R_3CGT0H8ZyvVVuVq,huai,chou,zuo,chou,ta,yu,hang,jiao,jin,fu,ling,hang,yuan,xian,guang,na,jian,pao,zhan,cui,yu,ke,tai,ge,yi,jie,lv,gao,tang,ren,huan,ning,tuo,han,ju,gan,ai,pian,yan,zhu,duan,hui,xi,pan,guai,po,po,ai,yan,kong,mu,yan,mo,meng,can,yu,lian,fei,ma,gui,25,0.4333333333333333,0.48549382716049394,0.06040102671530564,0.36666666666666664,0.6166666666666667
49,R_2WD37zirMZymT9U,huai,chou,zha,qiu,ta,yu,kang,jiao,jin,fu,lian,she,ruan,xian,guang,na,lian,bao,nian,wei,gou,ke,yi,ge,qia,jie,lv,hao,tang,ren,huan,ning,tuo,xuan,ju,gan,ai,pian,ti,zhu,luan,hui,you,fan,cheng,po,po,yi,shen,kong,miu,qiao,mo,meng,dian,shu,lian,fei,feng,gui,27,0.4666666666666667,0.5219135802469137,0.06712297251263231,0.36666666666666664,0.6833333333333333
50,R_2viXBoXuGAVvmmB,pi,you,zuo,qiu,ye,yu,kang,jiao,yin,fu,ling,yu,xuan,xian,guang,na,jian,bao,zhan,gui,gou,ke,dai,ge,qia,jie,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,po,ai,bian,ti,zhu,duan,mei,xiu,fan,deng,bo,pi,ai,shen,qiang,miu,qiao,mo,meng,dan,yu,lian,fei,ma,gui,33,0.5666666666666667,0.5475308641975309,0.07206212433158192,0.31666666666666665,0.7
51,R_4VeTJtaWDCzsc81,bei,chou,zha,jiu,ta,zai,hang,jiao,ling,fu,ling,yu,yuan,xian,guang,ne,jian,bao,yan,guang,gou,dan,tai,hu,ge,ji,zhi,gao,tang,ren,huan,ning,bei,xuan,zhan,gan,ai,pian,di,zhu,duan,mei,xiu,fan,deng,bai,bei,yi,zhen,kong,lao,qiao,mo,meng,dan,yu,lian,fei,ma,gui,29,0.5,0.4756172839506172,0.059936458576543596,0.35,0.6333333333333333
52,R_1Cd4MtdMfydlxca,bu,niu,zha,qiu,ta,yu,hang,jiao,cen,fu,ling,yu,ruan,xi,guang,ne,qian,pao,yan,wei,ju,ke,yi,gong,he,ji,lv,gao,tang,ren,huan,ning,ta,xuan,ju,xuan,ai,bian,ti,zhu,luan,mei,zhou,pan,deng,bo,pi,yi,zhen,qiang,miu,xiao,mo,meng,zhan,su,lian,fei,ma,gui,26,0.45,0.5243827160493828,0.061062651518855926,0.36666666666666664,0.65
53,R_3hcjdap5LDHBoTx,bu,niu,zuo,jiu,tuo,yu,hang,xiao,cen,fu,ling,yu,wan,xian,huang,ne,lian,bao,yan,gui,qu,ke,yi,ge,he,ge,lv,gao,tang,ren,huan,ning,tuo,xuan,ju,jian,ai,bian,ti,zhu,duan,hui,xiu,fan,deng,bo,po,ai,shen,kong,liao,qiao,mo,meng,zhan,yu,lian,fei,ping,huai,31,0.5333333333333333,0.501851851851852,0.06703253900766488,0.2833333333333333,0.65
54,R_2Y9Z6uSBGua3H45,huai,xun,za,qiu,chi,yu,kang,jiao,qin,fu,ling,yu,yuan,xian,huang,na,qian,pao,dan,gui,ju,ke,dai,ke,qia,ji,lv,ku,tang,ren,huan,ning,tuo,xuan,ju,jian,ai,san,ti,zhu,duan,hui,dian,fan,deng,bo,pi,ai,shen,kong,mio,shao,mo,meng,chan,yu,da,fei,ma,gui,23,0.4,0.5015432098765432,0.06961021444530062,0.31666666666666665,0.7
